QUESTION	Q_UNDERGOER	Q_ENABLER	Q_TRIGGER	Q_RESULT	Q_UNDERSPECIFIED	ANSWER_CHOICE	ANSWER_SENTENCE	A_UNDERGOER	A_ENABLER	A_TRIGGER	A_RESULT	A_UNDERSPECIFIED	UNDERGOER_SCORE	ENABLER_SCORE	TRIGGER_SCORE	RESULT_SCORE	UNDERSPECIFIED_SCORE	CORRECT_ANSWER
<span class="blank"> </span> is an animal's color or pattern that helps it blend in with its surroundings. 						camouflage	The leopard's camouflage makes it blend in with the forest shadows.						nan	nan	nan	nan	nan	camouflage
<span class="blank"> </span> is an animal's color or pattern that helps it blend in with its surroundings. 						camouflage	Rabbits use their white fur as camouflage in the snow.	Rabbits		camouflage		snow	nan	nan	nan	nan	nan	camouflage
The process that forms reproductive cells is called? 						mitosis	There is no genetic variation produced because asexual reproduction uses mitosis as the genetic process to duplicate the genome.	mitosis|genetic		reproduction	the|duplicate the genome		nan	nan	nan	nan	nan	meiosis
The process that forms reproductive cells is called? 						mitosis	Well, when mitosis is finished (cytokinesis) the structures in a plant cell are different than those in an animal cell.						nan	nan	nan	nan	nan	meiosis
The process that forms reproductive cells is called? 						mitosis	There are areas of the plant that are capable of growth from mitosis (also known as meristems).						nan	nan	nan	nan	nan	meiosis
The process that forms reproductive cells is called? 						mitosis	Vegetative growth continues through cell division (mitosis) and expansion in the epicotyl or growing point of the young plant.						nan	nan	nan	nan	nan	meiosis
The process that forms reproductive cells is called? 						mitosis	All three life cycles (animal, plants/algae and fungi) have these three key features: fertilization, undergoes mitosis and meiosis.						nan	nan	nan	nan	nan	meiosis
The process that forms reproductive cells is called? 						meiosis	All three life cycles (animal, plants/algae and fungi) have these three key features: fertilization, undergoes mitosis and meiosis.						nan	nan	nan	nan	nan	meiosis
The process that forms reproductive cells is called? 						meiosis	Much like pollen, the ovules are produced through meiosis and they contain half of the plant's genetic code.	ovules		produced			nan	nan	nan	nan	nan	meiosis
The process that forms reproductive cells is called? 						meiosis	During the process of meiosis diploid cells produce haploid cells.						nan	nan	nan	nan	nan	meiosis
The process that forms reproductive cells is called? 						meiosis	Just one egg is produced from the four haploid cells that result from meiosis.						nan	nan	nan	nan	nan	meiosis
The process that forms reproductive cells is called? 						meiosis	process of reductional division in which the number of chromosomes per cell is cut in half.			process	reductional division|number|chromosomes|cell is cut in half		nan	nan	nan	nan	nan	meiosis
Which is reproduction that requires a male and female cell? 	male		reproduction	female cell		asexual reproduction	A more stringent definition is agamogenesis which is reproduction without the fusion of gametes					without the fusion of gametes	0	nan	0	0	nan	sexual reproduction
Which is reproduction that requires a male and female cell? 	male		reproduction	female cell		asexual reproduction	Asexual reproduction is the primary form of reproduction for single-celled organisms such as the archaea, bacteria, and protists	bacteria|protists		reproduction	single-celled organisms|the archaea|and		0	nan	1.0	0.162994775043	nan	sexual reproduction
Which is reproduction that requires a male and female cell? 	male		reproduction	female cell		asexual reproduction	Asexual reproduction is a mode of reproduction by which offspring arise from a single organism, and inherit the genes of that parent only	offspring|single organism		reproduction|inherit	from a|the genes of|parent		0.320343894815	nan	1.0	0	nan	sexual reproduction
Which is reproduction that requires a male and female cell? 	male		reproduction	female cell		asexual reproduction	reproduction that involves a single parent and results in offspring that are all genetically identical to the parent	single parent and|genetically		reproduction	that|results in offspring|all|identical to|parent		0	nan	1.0	0	nan	sexual reproduction
Which is reproduction that requires a male and female cell? 	male		reproduction	female cell		asexual reproduction	The generation of offspring from a single parent that occurs without the fusion of gametes (by budding, division of a single cell, or division of the entire organism into two or more parts).	gametes|organism	single parent|gametes|cell	generation|budding	offspring|single cell|division|entire organism|two|parts	occurs without the fusion of gametes	0.271702918172	nan	0.752234497256	0.51093440286	nan	sexual reproduction
Which is reproduction that requires a male and female cell? 	male		reproduction	female cell		mitosis	There is no genetic variation produced because asexual reproduction uses mitosis as the genetic process to duplicate the genome.	mitosis|genetic		reproduction	the|duplicate the genome		0	nan	1.0	0	nan	sexual reproduction
Which is reproduction that requires a male and female cell? 	male		reproduction	female cell		mitosis	Well, when mitosis is finished (cytokinesis) the structures in a plant cell are different than those in an animal cell.						0	nan	0	0	nan	sexual reproduction
Which is reproduction that requires a male and female cell? 	male		reproduction	female cell		mitosis	There are areas of the plant that are capable of growth from mitosis (also known as meristems).						0	nan	0	0	nan	sexual reproduction
Which is reproduction that requires a male and female cell? 	male		reproduction	female cell		mitosis	Vegetative growth continues through cell division (mitosis) and expansion in the epicotyl or growing point of the young plant.						0	nan	0	0	nan	sexual reproduction
Which is reproduction that requires a male and female cell? 	male		reproduction	female cell		mitosis	All three life cycles (animal, plants/algae and fungi) have these three key features: fertilization, undergoes mitosis and meiosis.						0	nan	0	0	nan	sexual reproduction
Which is reproduction that requires a male and female cell? 	male		reproduction	female cell		sexual reproduction	A more stringent definition is agamogenesis which is reproduction without the fusion of gametes					without the fusion of gametes	0	nan	0	0	nan	sexual reproduction
Which is reproduction that requires a male and female cell? 	male		reproduction	female cell		sexual reproduction	Asexual reproduction is the primary form of reproduction for single-celled organisms such as the archaea, bacteria, and protists	bacteria|protists		reproduction	single-celled organisms|the archaea|and		0	nan	1.0	0.162994775043	nan	sexual reproduction
Which is reproduction that requires a male and female cell? 	male		reproduction	female cell		sexual reproduction	Asexual reproduction is a mode of reproduction by which offspring arise from a single organism, and inherit the genes of that parent only	offspring|single organism		reproduction|inherit	from a|the genes of|parent		0.320343894815	nan	1.0	0	nan	sexual reproduction
Which is reproduction that requires a male and female cell? 	male		reproduction	female cell		sexual reproduction	reproduction that involves a single parent and results in offspring that are all genetically identical to the parent	single parent and|genetically		reproduction	that|results in offspring|all|identical to|parent		0	nan	1.0	0	nan	sexual reproduction
Which is reproduction that requires a male and female cell? 	male		reproduction	female cell		sexual reproduction	The generation of offspring from a single parent that occurs without the fusion of gametes (by budding, division of a single cell, or division of the entire organism into two or more parts).	gametes|organism	single parent|gametes|cell	generation|budding	offspring|single cell|division|entire organism|two|parts	occurs without the fusion of gametes	0.271702918172	nan	0.752234497256	0.51093440286	nan	sexual reproduction
Which is reproduction that requires a male and female cell? 	male		reproduction	female cell		sexual reproduction	A type of reproduction in which two parents give rise to offspring that have unique combinations of genes inherited from the gametes of the parents.	offspring|genes	parents	inherited			0	nan	0	0	nan	sexual reproduction
Which is reproduction that requires a male and female cell? 	male		reproduction	female cell		sexual reproduction	type of reproduction that involves the fertilization of gametes produced by two parents and produces genetically variable offspring	parents		type	gametes|variable offspring		0	nan	0	0.51093440286	nan	sexual reproduction
<span class="blank"> </span> is a change of position. 						motion	Energy: energy an object has when it is in motion.					energy	nan	nan	nan	nan	nan	motion
<span class="blank"> </span> is a change of position. 						motion	The kinetic energy of an object is the energy it has because of its motion.					Kinetic energy	nan	nan	nan	nan	nan	motion
<span class="blank"> </span> is a change of position. 						motion	A change of position with respect to time.			change	position|respect to time		nan	nan	nan	nan	nan	motion
<span class="blank"> </span> is a change of position. 						motion	The act of moving from place to place.		place	moving	place		nan	nan	nan	nan	nan	motion
<span class="blank"> </span> is a change of position. 						motion	The act or process of changing position or place.			changing			nan	nan	nan	nan	nan	motion
<span class="blank"> </span> is a change of position. 						gravity	A simple example of potential energy is the gravitational energy of some water at a height above the Earth.						nan	nan	nan	nan	nan	motion
<span class="blank"> </span> is a change of position. 						gravity	An example of gravitational energy is water flowing down a waterfall.						nan	nan	nan	nan	nan	motion
<span class="blank"> </span> is a change of position. 						gravity	The gravitational potential energy of the water is converting to kinetic energy.						nan	nan	nan	nan	nan	motion
<span class="blank"> </span> is a change of position. 						gravity	Electrical energy and gravitational potential energy are two examples of stored energy.						nan	nan	nan	nan	nan	motion
<span class="blank"> </span> is a change of position. 						gravity	The water cycle is powered by the Sun's energy and the Earth's gravity.						nan	nan	nan	nan	nan	motion
<span class="blank"> </span> is a change of position. 						gravity	When you jump up in the air, you come back down to the ground due to gravity.						nan	nan	nan	nan	nan	motion
<span class="blank"> </span> is a change of position. 						gravity	Gravity, or gravitation, is the attraction of all matter for all other matter.						nan	nan	nan	nan	nan	motion
<span class="blank"> </span> is a change of position. 						gravity	the force of attraction by which terrestrial bodies tend to fall toward the center of the earth.						nan	nan	nan	nan	nan	motion
<span class="blank"> </span> is a change of position. 						gravity	gravity is a natural phenomenon by which all physical bodies attract each other.						nan	nan	nan	nan	nan	motion
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			motion	Energy: energy an object has when it is in motion.					energy	0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			motion	The kinetic energy of an object is the energy it has because of its motion.					Kinetic energy	0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			motion	A change of position with respect to time.			change	position|respect to time		0	nan	0.000141723356009	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			motion	The act of moving from place to place.		place	moving	place		0	nan	0.154691043084	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			motion	The act or process of changing position or place.			changing			0	nan	0.000141723356009	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			acceleration	Earth always produces the same acceleration on every object.						0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			acceleration	For example, a cyclist uses chemical energy provided by food to accelerate a bicycle to a chosen speed.						0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			acceleration	The change in an objects velocity is called acceleration.	objects		acceleration	change|velocity		1.0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			acceleration	When an object accelerates its velocity is changing.	object		changing			1.0	nan	0.000141723356009	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			acceleration	A change in the speed or direction of a moving object is called acceleration.			acceleration			0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			gravity	A simple example of potential energy is the gravitational energy of some water at a height above the Earth.						0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			gravity	An example of gravitational energy is water flowing down a waterfall.						0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			gravity	The gravitational potential energy of the water is converting to kinetic energy.						0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			gravity	Electrical energy and gravitational potential energy are two examples of stored energy.						0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			gravity	The water cycle is powered by the Sun's energy and the Earth's gravity.						0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			gravity	When you jump up in the air, you come back down to the ground due to gravity.						0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			gravity	Gravity, or gravitation, is the attraction of all matter for all other matter.						0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			gravity	the force of attraction by which terrestrial bodies tend to fall toward the center of the earth.						0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			gravity	gravity is a natural phenomenon by which all physical bodies attract each other.						0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			friction	all mechanical waves must lose energy as they move through a medium because some energy is lost due to friction.						0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			friction	An excess of water creates too much suction, whereas a lack of water will create friction.						0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			friction	Due to friction, kinetic energy is converted to heat and not potential energy.						0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			friction	Part of the energy of your pushing moves the box, and part of the energy is lost to kinetic friction.						0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			friction	In converting one form of energy into another, some energy is ordinarily wasted in overcoming friction.						0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			friction	Friction is a force that provides resistance whenever two surfaces are in contact.						0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			friction	The box pushed across the floor will eventually stop because of the force, or friction, the floor has on the box.	box		pushed			0.0903867179854	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			friction	Friction is also the force exerted by brakes on a bicycle or car in order to stop.						0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			friction	When two objects slide over one another friction can occur.						0	nan	0	nan	nan	gravity
The force that pulls objects to the center of the Earth is called? 	force|objects		pulls			friction	Friction is the force resisting the relative motion of solid surfaces, fluid layers, and material elements sliding against each other.						0	nan	0	nan	nan	gravity
When something changes position, it is in? 						motion	Energy: energy an object has when it is in motion.					energy	nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						motion	The kinetic energy of an object is the energy it has because of its motion.					Kinetic energy	nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						motion	A change of position with respect to time.			change	position|respect to time		nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						motion	The act of moving from place to place.		place	moving	place		nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						motion	The act or process of changing position or place.			changing			nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						acceleration	Earth always produces the same acceleration on every object.						nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						acceleration	For example, a cyclist uses chemical energy provided by food to accelerate a bicycle to a chosen speed.						nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						acceleration	The change in an objects velocity is called acceleration.	objects		acceleration	change|velocity		nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						acceleration	When an object accelerates its velocity is changing.	object		changing			nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						acceleration	A change in the speed or direction of a moving object is called acceleration.			acceleration			nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						gravity	A simple example of potential energy is the gravitational energy of some water at a height above the Earth.						nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						gravity	An example of gravitational energy is water flowing down a waterfall.						nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						gravity	The gravitational potential energy of the water is converting to kinetic energy.						nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						gravity	Electrical energy and gravitational potential energy are two examples of stored energy.						nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						gravity	The water cycle is powered by the Sun's energy and the Earth's gravity.						nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						gravity	When you jump up in the air, you come back down to the ground due to gravity.						nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						gravity	Gravity, or gravitation, is the attraction of all matter for all other matter.						nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						gravity	the force of attraction by which terrestrial bodies tend to fall toward the center of the earth.						nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						gravity	gravity is a natural phenomenon by which all physical bodies attract each other.						nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						friction	all mechanical waves must lose energy as they move through a medium because some energy is lost due to friction.						nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						friction	An excess of water creates too much suction, whereas a lack of water will create friction.						nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						friction	Due to friction, kinetic energy is converted to heat and not potential energy.						nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						friction	Part of the energy of your pushing moves the box, and part of the energy is lost to kinetic friction.						nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						friction	In converting one form of energy into another, some energy is ordinarily wasted in overcoming friction.						nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						friction	Friction is a force that provides resistance whenever two surfaces are in contact.						nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						friction	The box pushed across the floor will eventually stop because of the force, or friction, the floor has on the box.	box		pushed			nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						friction	Friction is also the force exerted by brakes on a bicycle or car in order to stop.						nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						friction	When two objects slide over one another friction can occur.						nan	nan	nan	nan	nan	motion
When something changes position, it is in? 						friction	Friction is the force resisting the relative motion of solid surfaces, fluid layers, and material elements sliding against each other.						nan	nan	nan	nan	nan	motion
What is the force that slows down moving things? 						motion	Energy: energy an object has when it is in motion.					energy	nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						motion	The kinetic energy of an object is the energy it has because of its motion.					Kinetic energy	nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						motion	A change of position with respect to time.			change	position|respect to time		nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						motion	The act of moving from place to place.		place	moving	place		nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						motion	The act or process of changing position or place.			changing			nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						acceleration	Earth always produces the same acceleration on every object.						nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						acceleration	For example, a cyclist uses chemical energy provided by food to accelerate a bicycle to a chosen speed.						nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						acceleration	The change in an objects velocity is called acceleration.	objects		acceleration	change|velocity		nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						acceleration	When an object accelerates its velocity is changing.	object		changing			nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						acceleration	A change in the speed or direction of a moving object is called acceleration.			acceleration			nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						gravity	A simple example of potential energy is the gravitational energy of some water at a height above the Earth.						nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						gravity	An example of gravitational energy is water flowing down a waterfall.						nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						gravity	The gravitational potential energy of the water is converting to kinetic energy.						nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						gravity	Electrical energy and gravitational potential energy are two examples of stored energy.						nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						gravity	The water cycle is powered by the Sun's energy and the Earth's gravity.						nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						gravity	When you jump up in the air, you come back down to the ground due to gravity.						nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						gravity	Gravity, or gravitation, is the attraction of all matter for all other matter.						nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						gravity	the force of attraction by which terrestrial bodies tend to fall toward the center of the earth.						nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						gravity	gravity is a natural phenomenon by which all physical bodies attract each other.						nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						friction	all mechanical waves must lose energy as they move through a medium because some energy is lost due to friction.						nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						friction	An excess of water creates too much suction, whereas a lack of water will create friction.						nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						friction	Due to friction, kinetic energy is converted to heat and not potential energy.						nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						friction	Part of the energy of your pushing moves the box, and part of the energy is lost to kinetic friction.						nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						friction	In converting one form of energy into another, some energy is ordinarily wasted in overcoming friction.						nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						friction	Friction is a force that provides resistance whenever two surfaces are in contact.						nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						friction	The box pushed across the floor will eventually stop because of the force, or friction, the floor has on the box.	box		pushed			nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						friction	Friction is also the force exerted by brakes on a bicycle or car in order to stop.						nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						friction	When two objects slide over one another friction can occur.						nan	nan	nan	nan	nan	friction
What is the force that slows down moving things? 						friction	Friction is the force resisting the relative motion of solid surfaces, fluid layers, and material elements sliding against each other.						nan	nan	nan	nan	nan	friction
Light can <span class="blank"> </span>off surfaces that it strikes. 					off surfaces that it strikes	motion	Energy: energy an object has when it is in motion.					energy	nan	nan	nan	nan	0	reflect
Light can <span class="blank"> </span>off surfaces that it strikes. 					off surfaces that it strikes	motion	The kinetic energy of an object is the energy it has because of its motion.					Kinetic energy	nan	nan	nan	nan	0	reflect
Light can <span class="blank"> </span>off surfaces that it strikes. 					off surfaces that it strikes	motion	A change of position with respect to time.			change	position|respect to time		nan	nan	nan	nan	0	reflect
Light can <span class="blank"> </span>off surfaces that it strikes. 					off surfaces that it strikes	motion	The act of moving from place to place.		place	moving	place		nan	nan	nan	nan	0	reflect
Light can <span class="blank"> </span>off surfaces that it strikes. 					off surfaces that it strikes	motion	The act or process of changing position or place.			changing			nan	nan	nan	nan	0	reflect
Light can <span class="blank"> </span>off surfaces that it strikes. 					off surfaces that it strikes	reflect	Only the part of the moon that is reflecting the light from the Sun is changing.	part|reflecting		changing			nan	nan	nan	nan	0	reflect
Light can <span class="blank"> </span>off surfaces that it strikes. 					off surfaces that it strikes	reflect	If light or sound 'reflects' off something, it hits it and goes in a different direction.			reflects	different direction		nan	nan	nan	nan	0	reflect
Light can <span class="blank"> </span>off surfaces that it strikes. 					off surfaces that it strikes	reflect	To cause to return or to throw off after striking or falling on any surface, and in accordance with certain physical laws			falling			nan	nan	nan	nan	0	reflect
Light can <span class="blank"> </span>off surfaces that it strikes. 					off surfaces that it strikes	reflect	To throw or bend back (light, for example) from a surface			throw			nan	nan	nan	nan	0	reflect
Light can <span class="blank"> </span>off surfaces that it strikes. 					off surfaces that it strikes	reflect	When light interacts with matter, some of the light is transmitted, some is reflected, and some is absorbed.						nan	nan	nan	nan	0	reflect
Your respiratory system helps you <span class="blank"> </span>. 						breathe	Plants need energy to give oxygen for us to breathe and animals need energy to search for more foods.					oxygen	nan	nan	nan	nan	nan	breathe
Your respiratory system helps you <span class="blank"> </span>. 						breathe	All animals and plants need oxygen to breathe.					oxygen	nan	nan	nan	nan	nan	breathe
Your respiratory system helps you <span class="blank"> </span>. 						breathe	Animals breathe in oxygen and use it to extract energy from food.	Animals		breathe		use it to extract energy from food	nan	nan	nan	nan	nan	breathe
Your respiratory system helps you <span class="blank"> </span>. 						breathe	All the plants around you are breathing and releasing water, too.	plants		breathing			nan	nan	nan	nan	nan	breathe
Your respiratory system helps you <span class="blank"> </span>. 						breathe	Animals take in air by breathing.	Animals		take			nan	nan	nan	nan	nan	breathe
Your respiratory system helps you <span class="blank"> </span>. 						breathe	Humans inhale (breathe in) oxygen and exhale (breathe out) carbon dioxide.	Humans		inhale|breathe	dioxide	oxygen	nan	nan	nan	nan	nan	breathe
Your respiratory system helps you <span class="blank"> </span>. 						breathe	Breathing is the process that moves air in and out of the lungs						nan	nan	nan	nan	nan	breathe
Your respiratory system helps you <span class="blank"> </span>. 						breathe	The process of respiration, during which air is inhaled into the lungs through the mouth or nose due to muscle contraction and then exhaled due to muscle relaxation.						nan	nan	nan	nan	nan	breathe
Your respiratory system helps you <span class="blank"> </span>. 						breathe	A fish breathes by taking water into its mouth and forcing it out through the gill passages						nan	nan	nan	nan	nan	breathe
Your respiratory system helps you <span class="blank"> </span>. 						move	Nutrients move through a plant by the movement of water.	Nutrients	plant	move			nan	nan	nan	nan	nan	breathe
Your respiratory system helps you <span class="blank"> </span>. 						move	Earths water is always moving and the water cycle describes the water on, above or below the surface of earth.						nan	nan	nan	nan	nan	breathe
Your respiratory system helps you <span class="blank"> </span>. 						move	Anything that is moving has energy, and the more it’s moving, the more energy it has.	Anything		moving	energy		nan	nan	nan	nan	nan	breathe
Your respiratory system helps you <span class="blank"> </span>. 						move	The locomotion system is responsible for movement.						nan	nan	nan	nan	nan	breathe
Your respiratory system helps you <span class="blank"> </span>. 						move	an act of changing physical location or position or of having this changed.	location		changing	having		nan	nan	nan	nan	nan	breathe
Your respiratory system helps you <span class="blank"> </span>. 						move	movement of sand along a beach by wave action		wave action	movement			nan	nan	nan	nan	nan	breathe
Your respiratory system helps you <span class="blank"> </span>. 						digest food	(food for them) And animals eat meat or plants and digest it to get energy.						nan	nan	nan	nan	nan	breathe
Your respiratory system helps you <span class="blank"> </span>. 						digest food	The digestive system breaks down the food so our body can use it.						nan	nan	nan	nan	nan	breathe
Your respiratory system helps you <span class="blank"> </span>. 						digest food	Animal proteins are much more digestible than those of plant sources.						nan	nan	nan	nan	nan	breathe
Your respiratory system helps you <span class="blank"> </span>. 						digest food	process of breaking down food into nutrients that can be absorbed by the blood	nutrients		process|breaking	breaking down food|nutrients|absorbed|blood		nan	nan	nan	nan	nan	breathe
Your respiratory system helps you <span class="blank"> </span>. 						digest food	the breaking down of food into molecules small enough for the body to absorb.	food|molecules		breaking			nan	nan	nan	nan	nan	breathe
The process by which molten material adds new oceanic crust to the ocean floor 						seafloor spreading theory	Seafloor spreading is a process that occurs at mid-ocean ridges, where new oceanic crust is formed through volcanic activity and then gradually moves away from the ridge.		volcanic activity	seafloor spreading | process	new oceanic crust is formed	at mid-ocean ridges	nan	nan	nan	nan	nan	seafloor spreading theory
The process by which molten material adds new oceanic crust to the ocean floor 						continental drift theory	Continental drift is the movement of the Earth's continents relative to each other, thus appearing to "drift" across the ocean bed.	Earth|continents	ocean	movement			nan	nan	nan	nan	nan	seafloor spreading theory
The process by which molten material adds new oceanic crust to the ocean floor 						continental drift theory	Subduction is the main geologic force behind continental drift.						nan	nan	nan	nan	nan	seafloor spreading theory
The process by which molten material adds new oceanic crust to the ocean floor 						continental drift theory	the lateral movement of continents resulting from the motion of crustal plates.	continents|plates		movement			nan	nan	nan	nan	nan	seafloor spreading theory
The process by which molten material adds new oceanic crust to the ocean floor 						continental drift theory	The movement, formation, or re-formation of continents described by the theory of plate tectonics.	continents|tectonics	plate	movement			nan	nan	nan	nan	nan	seafloor spreading theory
The process by which molten material adds new oceanic crust to the ocean floor 						continental drift theory	the theory that the earth's continents move gradually over the surface of the planet on a substratum of magma.						nan	nan	nan	nan	nan	seafloor spreading theory
What is it called when two different organisms form a relationship where they are dependent upon each other? 						photosynthesis	Plants use light energy to drive photosynthesis, and animals use light energy to see.						nan	nan	nan	nan	nan	symbiosis
What is it called when two different organisms form a relationship where they are dependent upon each other? 						photosynthesis	Plants get their energy from the sun via photosynthesis.						nan	nan	nan	nan	nan	symbiosis
What is it called when two different organisms form a relationship where they are dependent upon each other? 						photosynthesis	The sun also gives energy to plants with photosynthesis.						nan	nan	nan	nan	nan	symbiosis
What is it called when two different organisms form a relationship where they are dependent upon each other? 						photosynthesis	A plant does photosynthesis whenever it can.					whenever it can.	nan	nan	nan	nan	nan	symbiosis
What is it called when two different organisms form a relationship where they are dependent upon each other? 						photosynthesis	Plants get their energy to grow through a process called photosynthesis.						nan	nan	nan	nan	nan	symbiosis
What is it called when two different organisms form a relationship where they are dependent upon each other? 						symbiosis	A close, prolonged association between two or more organisms of different species, regardless of benefit to the members.	different species|members		association			nan	nan	nan	nan	nan	symbiosis
What is it called when two different organisms form a relationship where they are dependent upon each other? 						symbiosis	An ecological relationship between organisms of two different species that live together in direct and intimate contact.	species		relationship			nan	nan	nan	nan	nan	symbiosis
What is it called when two different organisms form a relationship where they are dependent upon each other? 						symbiosis	close relationship between organisms of different species in which at least one of the organisms benefits from the relationship	different species|organisms		relationship	benefits		nan	nan	nan	nan	nan	symbiosis
What is it called when two different organisms form a relationship where they are dependent upon each other? 						symbiosis	Symbiosis is close and often long-term interaction between different biological species						nan	nan	nan	nan	nan	symbiosis
What is it called when two different organisms form a relationship where they are dependent upon each other? 						symbiosis	the relation between two different species of organisms that are interdependent; each gains benefits from the other						nan	nan	nan	nan	nan	symbiosis
When plants use stored sugar for energy, they go through a process called 						perspiration	animals use the perspiration of water to cool down their bodies.						nan	nan	nan	nan	nan	respiration
